닉네임,UID,원점수,2025-02-09 00:00:00,2025-02-10 00:00:00,2025-02-11 00:00:00,2025-02-12 00:00:00,2025-02-13 00:00:00,2025-02-14 00:00:00,2025-02-15 00:00:00,닉네임.2,UID.2,원점수.2,2025-03-02 00:00:00,2025-03-03 00:00:00,2025-03-04 00:00:00,2025-03-05 00:00:00,2025-03-06 00:00:00,2025-03-07 00:00:00,2025-03-08 00:00:00,닉네임.4,UID.4,원점수.4,2025-03-23 00:00:00,2025-03-24 00:00:00,2025-03-25 00:00:00,2025-03-26 00:00:00,2025-03-27 00:00:00,2025-03-28 00:00:00,2025-03-29 00:00:00,닉네임.6,UID.6,원점수.6,2025-04-13 00:00:00,2025-04-14 00:00:00,2025-04-15 00:00:00,2025-04-16 00:00:00
,,10107.0,10991.0,12010.0,12989.0,13991.0,14968.0,15949.0,16674,,,17934.0,18906,19901.0,20909.0,21873.0,22876.0,23922,24938.0,,,140.0,969,1784,2757,3735,4717,5699,6713.0,,,7973.0,8962.0,10008,11053,12094
,,0.0,7057.0,15461.0,23459.0,31692.0,39682.0,47707.0,53461,,,0.0,8337,16499.0,24785.0,32637.0,40875.0,49555,57926.0,,,0.0,6794,13458,21695,29979,38309,46636,55289.0,,,0.0,8400.0,17765,26727,35650
붉은황새,576867.0,,2.0,2.0,2.0,2.0,2.0,2.0,2,붉은황새,576867.0,,3,3.0,3.0,3.0,3.0,3,3.0,붉은황새,576867.0,,3,3,2,3,3,3,3.0,붉은황새,576867.0,,2.0,2,2,0
,,,150.0,150.0,150.0,150.0,150.0,150.0,150,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,180,180,150,180,180,180,180.0,,,,150.0,150,150,90
,,900.0,1618.0,2342.0,3079.0,3789.0,4561.0,5339.0,6059,,,7319.0,8219,9099.0,10040.0,10930.0,11872.0,12832,13742.0,,,15002.0,16336,17758,18774,20196,21611,23031,24520.0,,,25780.0,26842.0,27910,28972,29062
,,0.0,5695.0,11446.0,17329.0,22938.0,29167.0,35454.0,41164,,,0.0,7207,14219.0,21846.0,28954.0,36575.0,44381,51701.0,,,0.0,11558,23986,32653,45088,57444,69865,82969.0,,,0.0,9123.0,18312,27443,27443
프리렌,1861815.0,,3.0,3.0,3.0,3.0,3.0,3.0,3,프리렌,1861815.0,,3,3.0,3.0,3.0,3.0,3,3.0,지휘관(수오미),20810.0,,3,3,3,3,3,3,3.0,지휘관(수오미),20810.0,,3.0,3,3,3
,,,180.0,180.0,180.0,180.0,180.0,180.0,180,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,180,180,180,180,180,180,180.0,,,,180.0,180,180,180
,,450.0,1412.0,2427.0,3562.0,4612.0,5669.0,6789.0,7835,,,9095.0,10199,11274.0,12358.0,13468.0,14614.0,15781,16932.0,,,630.0,2041,3467,4907,6333,7758,9207,10649.0,,,11909.0,13422.0,14933,16473,17994
,,0.0,7831.0,16196.0,25758.0,34468.0,43245.0,52666.0,61340,,,0.0,9244,18216.0,27268.0,36587.0,46258.0,56139,65866.0,,,0.0,12332,24805,37414,49894,62364,75100,87713.0,,,0.0,13340.0,26680,40299,53716
Ryngvi,3155311.0,,3.0,3.0,3.0,3.0,3.0,3.0,3,Ryngvi,3155311.0,,3,3.0,3.0,3.0,3.0,3,3.0,Ryngvi,3155311.0,,3,3,2,2,2,2,2.0,Ryngvi,3155311.0,,3.0,3,3,3
,,,180.0,180.0,180.0,180.0,180.0,180.0,180,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,180,180,150,150,150,150,150.0,,,,180.0,180,180,180
,,7352.0,8412.0,9485.0,10571.0,11654.0,12865.0,14094.0,15307,,,16567.0,17649,18777.0,19975.0,21129.0,22333.0,23536,24741.0,,,26001.0,27446,28912,29951,30984,32014,33041,34096.0,,,35356.0,36938.0,38534,40130,42188
,,0.0,8811.0,17764.0,26841.0,35887.0,46213.0,56718.0,67059,,,0.0,9035,18522.0,28709.0,38465.0,48722.0,58957,69215.0,,,0.0,12661,25531,34435,43269,52076,60860,69924.0,,,0.0,14050.0,28224,42409,61239
LSUTIGERS,1256692.0,,3.0,3.0,3.0,3.0,3.0,3.0,과업 유기3,LSUTIGERS,1256692.0,,3,3.0,3.0,3.0,3.0,3,3.0,체다치즈,2131202.0,,2,2,2,2,2,3,1.0,체다치즈,2131202.0,,2.0,2,2,2
,,,180.0,180.0,180.0,180.0,180.0,180.0,140,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,150,150,150,150,150,180,120.0,,,,150.0,150,150,150
,,8253.0,9079.0,9923.0,10863.0,11757.0,12636.0,13628.0,14506,,,15726.0,16643,17577.0,18562.0,19503.0,20496.0,21474,22437.0,,,630.0,1625,2619,3628,4623,5625,7098,7633.0,,,8893.0,9964.0,11030,12110,13184
,,0.0,6474.0,13133.0,20747.0,27899.0,34900.0,43043.0,50439,,,0.0,7378,14942.0,23003.0,30630.0,38772.0,46767,54610.0,,,0.0,8465,16915,25514,33979,42506,55447,59597.0,,,0.0,9225.0,18401,27711,36967
0노엘0,94359.0,,3.0,3.0,3.0,2.0,3.0,3.0,2,0노엘0,94359.0,,3,3.0,3.0,2.0,3.0,3,3.0,0노엘0,94359.0,,3,3,3,3,3,3,2.0,0노엘0,94359.0,,3.0,2,2,3
,,,180.0,180.0,180.0,150.0,180.0,180.0,150,,,,180,180.0,180.0,150.0,180.0,180,180.0,,,,180,180,180,180,180,180,150.0,,,,180.0,150,150,180
,,8768.0,9729.0,10750.0,11847.0,12601.0,13651.0,14713.0,15523,,,16783.0,17781,18776.0,19838.0,20622.0,21668.0,22746,23773.0,,,25033.0,26488,27976,29464,30937,32412,33896,34959.0,,,36219.0,37294.0,38857,39951,41512
,,0.0,7832.0,16258.0,25436.0,31483.0,40196.0,49028.0,55639,,,0.0,8194,16361.0,25203.0,31549.0,40216.0,49210,57685.0,,,0.0,12755,25844,38934,51882,64846,77898,87041.0,,,0.0,9000.0,23099,32557,46385
부굥,2281763.0,,3.0,3.0,3.0,3.0,3.0,3.0,3,부굥,2281763.0,,3,3.0,3.0,3.0,3.0,3,3.0,부굥,2281763.0,,3,3,3,3,3,3,3.0,부굥,2281763.0,,3.0,3,3,3
,,,180.0,180.0,180.0,180.0,180.0,180.0,180,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,180,180,180,180,180,180,180.0,,,,180.0,180,180,180
,,1080.0,1962.0,2931.0,3777.0,4748.0,5693.0,6704.0,7654,,,8914.0,9793,10746.0,11737.0,12663.0,13677.0,14674,15662.0,,,16842.0,18289,19749,21227,22697,24175,25694,27247.0,,,28507.0,30067.0,31639,33216,34775
,,0.0,7039.0,14945.0,21617.0,29537.0,37201.0,45528.0,53236,,,0.0,7006,14751.0,22866.0,30340.0,38687.0,46869,54965.0,,,0.0,12680,25486,38482,51402,64395,77798,91542.0,,,0.0,13817.0,27757,41752,55559
노네임,2777044.0,,2.0,2.0,2.0,2.0,2.0,2.0,2,노네임,2777044.0,,3,3.0,3.0,3.0,3.0,3,3.0,노네임,2777044.0,,2,2,2,2,2,2,2.0,노네임,2777044.0,,2.0,과업 유기2,2,2
,,,150.0,150.0,150.0,150.0,150.0,150.0,150,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,150,150,150,150,150,150,150.0,,,,150.0,110,150,150
,,7170.0,7809.0,8477.0,9178.0,9857.0,10456.0,11147.0,11820,,,13080.0,14012,14903.0,15848.0,16742.0,17728.0,18729,19683.0,,,20853.0,21803,22785,23777,24748,25733,26735,27750.0,,,29010.0,30041.0,31026,32007,32950
,,0.0,4894.0,10082.0,15597.0,20893.0,25392.0,30804.0,36044,,,0.0,7534,14649.0,22303.0,29452.0,37524.0,45744,53490.0,,,0.0,8013,16341,24764,32981,41342,49876,58536.0,,,0.0,8824.0,17587,25900,33841
베오바흐터,11504.0,,2.0,2.0,2.0,2.0,2.0,2.0,2,베오바흐터,11504.0,,3,3.0,3.0,3.0,3.0,3,3.0,베오바흐터,11504.0,,2,2,2,2,2,2,2.0,베오바흐터,11504.0,,2.0,2,2,2
,,,150.0,150.0,150.0,150.0,150.0,150.0,150,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,150,150,150,150,150,150,150.0,,,,150.0,150,150,150
,,7350.0,7970.0,8610.0,9270.0,9939.0,10623.0,11394.0,12073,,,13333.0,14075,14826.0,15612.0,16383.0,17169.0,18041,18867.0,,,20127.0,21040,22011,23000,23975,24958,25942,26961.0,,,28221.0,29245.0,30264,31300,32315
,,0.0,4706.0,9620.0,14731.0,19926.0,25274.0,31491.0,36788,,,0.0,5631,11351.0,17429.0,23347.0,29417.0,36344,42816.0,,,0.0,7635,15852,24257,32519,40858,49204,57901.0,,,0.0,8720.5,17441,26312,34971
아리아,10495.0,,2.0,2.0,2.0,2.0,3.0,2.0,2,아리아,10495.0,,3,3.0,3.0,3.0,3.0,3,3.0,아리아,10495.0,,2,2,2,2,2,2,2.0,아리아,10495.0,,2.0,2,2,2
,,,150.0,150.0,150.0,150.0,180.0,150.0,150,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,150,150,150,150,150,150,150.0,,,,150.0,150,150,150
,,0.0,552.0,1185.0,1826.0,2495.0,3355.0,4057.0,4736,,,5996.0,6791,7749.0,8693.0,9652.0,10657.0,11669,12644.0,,,13904.0,14887,15884,16871,17864,18862,19882,20926.0,,,22186.0,23235.0,24281,25331,26370
,,0.0,4029.0,8865.0,13783.0,18976.0,25794.0,31321.0,36621,,,0.0,6163,13962.0,21621.0,29424.0,37680.0,46005,53958.0,,,0.0,8343,16823,25205,33641,42136,50844,59799.0,,,0.0,8997.0,17967,26973,35879
지휘관(와쟝),1320552.0,,3.0,0.0,3.0,3.0,3.0,3.0,3,붕어빵,1914746.0,,3,3.0,3.0,3.0,3.0,3,3.0,SWPSR,434634.0,,3,3,3,1,3,3,2.0,SWPSR,434634.0,,2.0,3,3,3
,,,180.0,90.0,180.0,180.0,180.0,180.0,180,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,180,180,180,120,180,180,150.0,,,,150.0,180,180,180
,,9407.0,10051.0,10141.0,10784.0,11466.0,12140.0,12826.0,13525,,,1080.0,2068,3160.0,4298.0,5442.0,6635.0,7844,8997.0,,,630.0,2047,3487,4942,5498,6948,8416,9468.0,,,10728.0,11778.0,13324,14886,16438
,,0.0,4651.0,4651.0,9294.0,14321.0,19270.0,24337.0,29537,,,0.0,8097,17231.0,26824.0,36484.0,46633.0,56935,66679.0,,,0.0,12386,24999,37759,42125,54842,67738,76768.0,,,0.0,9000.0,22698,36529,50266
야임,285247.0,,3.0,3.0,3.0,3.0,3.0,3.0,3,야임,285247.0,,3,3.0,3.0,3.0,3.0,3,3.0,야임,285247.0,,2,2,2,2,2,2,193.0,야임,285247.0,,2.0,2,2,2
,,,180.0,180.0,180.0,180.0,180.0,180.0,180,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,150,150,150,150,150,150,5880.0,,,,150.0,150,150,150
,,6747.0,7668.0,8620.0,9603.0,10588.0,11537.0,12567.0,13556,,,14816.0,15723,16595.0,17580.0,18506.0,19488.0,20492,21438.0,,,22698.0,23651,24554,25536,26514,27511,28494,29475.0,,,30735.0,31767.0,32815,33853,34889
,,0.0,7425.0,15150.0,23196.0,31267.0,38977.0,47483.0,55589,,,0.0,7286,14222.0,22285.0,29756.0,37786.0,46032,53706.0,,,0.0,8037,15571,23909,32202,40674,49006,,,,0.0,8800.0,17818,26703,35579
국정원장,2047525.0,,3.0,3.0,3.0,3.0,3.0,3.0,3,국정원장,2047525.0,,3,3.0,3.0,3.0,3.0,3,3.0,국정원장,2047525.0,,2,3,2,3,2,3,3.0,국정원장,2047525.0,,3.0,3,3,6
,,,180.0,180.0,180.0,180.0,180.0,180.0,180,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,150,180,150,180,150,180,180.0,,,,180.0,180,180,270
,,10888.0,11811.0,12802.0,13800.0,14671.0,15560.0,16478.0,17347,,,18607.0,19595,20571.0,21640.0,22628.0,23679.0,24783,25810.0,,,27070.0,28079,29529,30556,32005,33008,34470,35937.0,,,37197.0,38729.0,40280,41839,43481
,,0.0,7443.0,15571.0,23766.0,30699.0,37804.0,45202.0,52103,,,0.0,8095,16073.0,24983.0,33076.0,41800.0,51061,59551.0,,,0.0,8594,21307,30081,42793,51326,64164,77047.0,,,0.0,13534.0,27259,41060,54793
네부,1581287.0,,3.0,3.0,3.0,3.0,3.0,3.0,3,네부,1581287.0,,3,3.0,3.0,3.0,3.0,3,3.0,네부,1581287.0,,3,3,3,3,3,3,3.0,네부,1581287.0,,3.0,3,3,3
,,,180.0,180.0,180.0,180.0,180.0,180.0,180,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,180,180,180,180,180,180,180.0,,,,180.0,180,180,180
,,10567.0,11564.0,12617.0,13733.0,14694.0,15775.0,16936.0,18049,,,19309.0,20357,21466.0,22592.0,23697.0,24829.0,25997,27141.0,,,28401.0,29850,31309,32784,34231,35692,37172,38689.0,,,39949.0,41495.0,43069,44647,46212
,,0.0,8191.0,16935.0,26312.0,34127.0,43150.0,52975.0,62320,,,0.0,8696,17994.0,27458.0,36712.0,46249.0,56147,65802.0,,,0.0,12697,25494,38456,51148,63977,76983,90361.0,,,0.0,13700.0,27646,41638,55512
지휘관(빨댕이),426187.0,,3.0,3.0,3.0,2.0,2.0,2.0,2,지휘관(빨댕이),426187.0,,3,3.0,3.0,3.0,3.0,3,3.0,이라세오날,426187.0,,3,3,3,3,3,3,3.0,이라세오날,426187.0,,3.0,3,3,3
,,,180.0,180.0,180.0,150.0,150.0,150.0,150,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,180,180,180,180,180,180,180.0,,,,180.0,180,180,180
,,7350.0,8071.0,8866.0,9743.0,10326.0,10918.0,11594.0,12209,,,13469.0,14253,15016.0,15881.0,16700.0,17506.0,18358,19197.0,,,180.0,1413,2767,4162,5583,6945,8389,9896.0,,,11156.0,12679.0,14216,15757,17299
,,0.0,5425.0,11593.0,18575.0,22909.0,27338.0,32608.0,37268,,,0.0,6049,11887.0,18746.0,25154.0,31427.0,38158,44764.0,,,0.0,10542,22295,34462,46885,58723,71378,84657.0,,,0.0,13450.0,27031,40661,54300
나,11840.0,,2.0,2.0,2.0,2.0,2.0,2.0,2,나,11840.0,,3,3.0,3.0,3.0,3.0,3,3.0,나,11840.0,,2,2,2,2,2,2,2.0,나,11840.0,,2.0,2,2,2
,,,150.0,150.0,150.0,150.0,150.0,150.0,150,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,150,150,150,150,150,150,150.0,,,,150.0,150,150,150
,,7507.0,8093.0,8704.0,9334.0,9907.0,10447.0,11149.0,11766,,,13026.0,13848,14643.0,15460.0,16247.0,17069.0,17939,18784.0,,,20044.0,21009,21994,22979,23960,24903,25896,26874.0,,,28134.0,29172.0,30223,31268,32310
,,0.0,4390.0,9012.0,13821.0,18062.0,21977.0,27514.0,32185,,,0.0,6433,12593.0,18974.0,25061.0,31495.0,38410,45077.0,,,0.0,8156,16517,24870,33191,41133,49565,57852.0,,,0.0,8900.0,17911,26869,35799
파아란,41958.0,,2.0,2.0,2.0,2.0,2.0,2.0,2,파아란,41958.0,,3,3.0,3.0,3.0,3.0,3,3.0,파아란,41958.0,,2,2,2,2,2,2,2.0,파아란,41958.0,,0.0,3,3,2
,,,150.0,150.0,150.0,150.0,150.0,150.0,150,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,150,150,150,150,150,150,150.0,,,,90.0,180,180,150
,,0.0,587.0,1187.0,1829.0,2487.0,3146.0,3751.0,4419,,,5679.0,6593,7471.0,8432.0,9336.0,10318.0,11308,12253.0,,,13513.0,14458,15426,16427,17428,18427,19430,20448.0,,,21708.0,21798.0,23282,24775,25828
,,0.0,4383.0,8896.0,13823.0,18914.0,24021.0,28572.0,33759,,,0.0,7352,14349.0,22171.0,29418.0,37458.0,45565,53222.0,,,0.0,7963,16158,24673,33192,41696,50232,58922.0,,,0.0,0.0,13047,26188,35220
직원A,1241905.0,,3.0,3.0,3.0,3.0,3.0,3.0,3,직원A,1241905.0,,3,3.0,3.0,1.0,3.0,3,3.0,직원A,1241905.0,,3,3,3,3,3,3,3.0,직원A,1241905.0,,3.0,3,3,3
,,,180.0,180.0,180.0,180.0,180.0,180.0,180,,,,180,180.0,180.0,120.0,180.0,180,180.0,,,,180,180,180,180,180,180,180.0,,,,180.0,180,180,180
,,4920.0,5916.0,6852.0,7873.0,8850.0,9907.0,10894.0,11930,,,13190.0,14155,15149.0,16149.0,16565.0,17558.0,18594,19575.0,,,20835.0,22257,23686,25118,26525,27970,29419,30925.0,,,32185.0,33704.0,35232,36771,38302
,,0.0,8171.0,15747.0,24167.0,32151.0,40944.0,49034.0,57607,,,0.0,7867,16026.0,24234.0,27199.0,35344.0,43919,51943.0,,,0.0,12428,24929,37470,49755,62427,75126,88406.0,,,0.0,13408.0,26913,40516,54045
델타,278406.0,,2.0,2.0,2.0,2.0,2.0,2.0,2,델타,278406.0,,2,3.0,3.0,3.0,3.0,3,3.0,델타,278406.0,,2,2,2,2,2,2,2.0,델타,278406.0,,2.0,2,2,2
,,,150.0,150.0,150.0,150.0,150.0,150.0,150,,,,150,180.0,180.0,180.0,180.0,180,180.0,,,,150,150,150,150,150,150,150.0,,,,150.0,150,150,150
,,7350.0,7921.0,8539.0,9160.0,9761.0,10380.0,11044.0,11671,,,12931.0,13463,14342.0,15225.0,16105.0,17075.0,18008,18969.0,,,20229.0,21168,22145,23121,24091,25071,26065,27039.0,,,28299.0,29352.0,30433,31498,32566
,,0.0,4221.0,8917.0,13637.0,18157.0,22853.0,28002.0,32779,,,0.0,3837,10844.0,17886.0,24899.0,32813.0,40354,48186.0,,,0.0,7902,16178,24445,32657,40971,49418,57673.0,,,0.0,9000.0,18357,27517,36711
Ailless,17812.0,,3.0,3.0,3.0,3.0,3.0,3.0,3,Ailless,17812.0,,3,3.0,3.0,3.0,3.0,3,3.0,Ailless,17812.0,,3,3,3,3,3,3,3.0,Ailless,17812.0,,3.0,3,3,3
,,,180.0,180.0,180.0,180.0,180.0,180.0,180,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,180,180,180,180,180,180,180.0,,,,180.0,180,180,180
,,6360.0,6917.0,7703.0,8637.0,9489.0,10408.0,11338.0,12294,,,13554.0,14501,15493.0,16563.0,17563.0,18582.0,19646,20691.0,,,21951.0,23392,24835,26219,27671,29124,30597,32104.0,,,33364.0,34912.0,36441,38000,39537
,,0.0,3778.0,9854.0,17412.0,24149.0,31555.0,39069.0,46843,,,0.0,7686,15819.0,24727.0,32938.0,41342.0,50197,58858.0,,,0.0,12618,25258,37316,50046,62797,75731,89011.0,,,0.0,13695.0,27196,41008,54589
달려,105215.0,,3.0,3.0,2.0,2.0,2.0,2.0,2,달려,105215.0,,3,3.0,3.0,3.0,3.0,3,3.0,달려,105215.0,,3,2,2,2,2,2,2.0,달려,105215.0,,3.0,2,0,3
,,,180.0,180.0,150.0,150.0,150.0,150.0,150,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,180,150,150,150,150,150,150.0,,,,180.0,150,90,180
,,8693.0,9665.0,10643.0,11354.0,12034.0,12684.0,13553.0,14268,,,15528.0,16449,17416.0,18413.0,19365.0,20327.0,21368,22394.0,,,23654.0,24989,26015,27039,28050,29069,30096,31159.0,,,32329.0,33855.0,34906,34996,36535
,,0.0,7922.0,15922.0,21543.0,26850.0,31860.0,39061.0,44714,,,0.0,7423,15313.0,23500.0,31228.0,39064.0,47680,56151.0,,,0.0,11562,20327,29079,37707,46401,55177,64318.0,,,0.0,13470.0,22496,22496,36102
CHECHE,1192758.0,,3.0,3.0,3.0,3.0,3.0,3.0,3,CHECHE,1192758.0,,3,3.0,3.0,3.0,3.0,3,,Visara,2878570.0,,3,3,3,3,3,3,3.0,Visara,2878570.0,,3.0,3,3,3
,,,180.0,180.0,180.0,180.0,180.0,180.0,180,,,,180,180.0,180.0,180.0,180.0,180,3430.0,,,,180,180,180,180,180,180,180.0,,,,180.0,180,180,180
